,name,value,is_optout_cookie
0,poptout,1,True
1,optout,"""opted out""",True
2,optout,1,True
3,NoTrack,"""Aperture Opt-Out""",True
4,chicory-opt-out,1,True
5,tuuid,opt-out,True
6,optout,y,True
7,as-noads,true,True
8,vglnk.OptOut.p,1,True
9,_pg_optout,1,True
10,tmrtdisabled,1,True
11,dnt,1,True
12,NAI,1,True
13,XIDOPTOUT,YES,True
14,OptOut,yes,True
15,cd_optout_clickdimensionscom_wlPwBHo78aqEUWB405L7Ka,true,True
16,extgt,1,True
17,ouuid,opt-out,True
18,opt-out,yes,True
19,opt-out,1,True
20,atdses,O,True
21,ad-privacy,0,True
22,u,optout,True
23,aa,opt-out,True
24,svid,OPT-OUT,True
25,CSNoTrack,true,True
26,optout,1,True
27,join_opt_out,true,True
28,ADK_OPTOUT,1,True
29,mf_block,1,True
30,vrtcalmwoptout,1,True
31,ebOptOut,TRUE,True
32,OptOut,we will not set any more cookies,True
33,optout,1,True
34,opt-out,true,True
35,utl_no_tracking,1,True
36,atm_opt,1,True
37,__bmsrvdnt,all,True
38,opt-out,emxoptout,True
39,OT,1,True
40,tarteaucitron,!analytics=false!googletagmanager=false,True
41,OPTOUT,yes,True
42,tuuid,opt-out,True
43,opt-out,1,True
44,UI,|,True
45,OAID,optout,True
46,optout,yes,True
47,optout,optout,True
48,opt_out,1,True
49,optout,true,True
50,cad_dnt,1,True
51,VisualIQ_ID,OPT_OUT,True
52,adclearoptout,true,True
53,__cookie_optout,true,True
54,opt,1,True
55,opt_out,1,True
56,d4t4v9CSAP3P,optedOut,True
57,BOO,opt-out,True
58,DnT,true,True
59,opt_out,1,True
60,opt-out,1,True
61,trp_optout,true,True
62,opt_out,1,True
63,t_opt,OPT-OUT,True
64,omniture_optout,out,True
65,opt_out,opt_out,True
66,dnt,1,True
67,OPTOUT,yes,True
68,optout,1,True
69,trs_db_optout,1,True
70,tuuid,opt-out,True
71,ad-privacy,1,True
72,nid,optout,True
73,opt,1,True
74,oo,1,True
75,ZEDOIDA,OPT_OUT,True
76,opt_out,"""true""",True
77,qoo,OPT_OUT,True
78,r_ad_optout,1,True
79,opt_out,1,True
80,dtm_status,OPTOUT,True
81,opt,out,True
82,dc_id,NOTRACK,True
83,mgunrtrg,1,True
84,nocookie,nocookie,True
85,oo_flag,t,True
86,mako_uid,opt-out,True
87,optout,true,True
88,X1ID,OO-00000000000000000,True
89,CMO,2,True
90,ANON_ID,OptOut,True
91,optout,optout,True
92,dnt,1,True
93,nocookie,nocookie,True
94,noTrack,1,True
95,opt_out,1,True
96,optout,1,True
97,tuuid,opt-out,True
98,bts-optout,1,True
99,optout,1,True
100,VMM_OPTOUT,optout,True
101,powerlinks-opt-out,1,True
102,id,optout,True
103,digitrust.v1.identity,eyjpzci6iiisinzlcnnpb24iojisinbyb2r1y2vyijoimunyc2rvtkfvniisimtlexyiojasinbyaxzhy3kionsib3b0b3v0ijp0cnvlfx0%3d,True
104,OPT_OUT,1,True
105,optout,true,True
106,catAccCookies,1,True
107,TDID,00000000-0000-0000-0000-000000000000,True
108,optout,1,True
109,EROO,1,True
110,__hs_opt_out,yes,True
111,CHOUNIQ,OPT_OUT,True
112,optInOutCookie,true,True
113,AO,o=1,True
114,mako_uid,opt-out,True
115,__adroll_shared,OPT_OUT,True
116,oo,1,True
117,opt-out,"""opt-out""",True
118,optout,y,True
119,optout,yes,True
120,ib-ibi.com-OptOut,IsOptOut=true,True
121,ci-opt-out,1,True
122,cookie_optout,1,True
123,U,-1,True
124,tuuid,opt-out,True
125,opt_out,,True
126,s_cc,true,True
127,_gat_gtag_UA_259065_9,1,True
128,DNP,"""1""",True
129,piwik_block_all,,True
130,__cqClearToReset,1,True
131,optout,1,True
132,optout,1,True
133,dentsu_privacy_optedout,1,True
134,optouts,cookies,True
135,ACID,optout!,True
136,OPTOUT,1,True
137,optout,1,True
138,opout,true,True
139,mxpim,optout,True
140,omniture_optout,1,True
141,optout,true,True
142,rud,h4siaaaaaaaaaopispypcin3dw0bagzwkcekaaaa,True
143,opt-out,1,True
144,optout,on,True
145,tuuid_new,opt-out,True
146,ry-optout,1,True
147,tuuid_new,opt-out,True
148,donottrack,true,True
149,ADVIVA,NOTRACK,True
150,trck_global_dnt,1,True
151,BKIgnore,1,True
152,optout,"""0+0+0""",True
153,optout,1,True
154,swoop-nai-optout,1,True
155,uuid2,,True
156,DNT-TRK,1,True
157,dmpActiveTab,,True
158,sess,1,True
159,emos_optout,1,True
160,om_optout,1,True
161,trpdoo,1,True
162,opt_out,1,True
163,__ev_uid,00000000000000000000000000000000,True
164,daa,1,True
165,AOOC,1,True
166,apx_status,3,True
167,smartlook_do_not_track,1,True
168,DotomiStatus,OPTOUT,True
169,voxus_opt_out,true,True
170,stop,stop,True
171,aa,OPTOUT,True
172,naiopt,out,True
173,MIDLIST_STATUS,optout,True
174,aid,opt-out,True
175,AKOPTOUT,true,True
176,DNT,1,True
177,optout,on,True
178,OPTOUT,YES,True
179,opt_out,1,True
180,kz_optout,1,True
181,opted-out,true,True
182,ZEDOIDA,OPT_OUT,True
183,NaN_mt,oo%3A1,True
184,optout,1,True
185,tyntOptOut,true,True
186,intentmedia_user_id,OptOut,True
187,BKIgnore,1,True
188,mnet_optout,1,True
189,uuid2,-1,True
190,loopme_did,OPT-OUT,True
191,OO,OptOut,True
192,nendoptout,true,True
193,lwrtg,optout,True
194,ASOptOut,1,True
195,aisakosOptOut,OPTEDOUT,True
196,ad_retarget_opt_out,true,True
197,AJOO,1,True
198,maxymiser.optout,*,True
199,OptOutCookie,optedout,True
200,oo,true,True
201,OPTOUT,1,True
202,OptOutCookie,true,True
203,opt-out,emxoptout,True
204,opt_out,opt_out,True
205,OPTOUT,1,True
206,optout,y,True
207,tuuid,opt-out,True
208,RMOPTOUT,3,True
209,xad-optout,true,True
210,kui1v,2,True
211,isoptout,yes,True
212,ebOptOut,TRUE,True
213,BizographicsOptOut,OPT_OUT,True
214,id,OPT_OUT,True
215,optout,1,True
216,_cc_cc,optout,True
217,tuuid,opt-out,True
218,tyntOptOut,true,True
219,ret_out,true,True
220,opt_out,1,True
221,fcoptout,1,True
222,TID,tacodaamoptout,True
223,optout,optout,True
224,ac_optout,1,True
225,__uis,opt-out,True
226,samba_dnt,1,True
227,ADGRX_OPTOUT,true,True
228,_rt.opt,O,True
229,_optout,1,True
230,opted_out,true,True
231,OptOut,True,True
232,o,9,True
233,oo,opt_out,True
234,opt_out,1,True
235,auid,optout,True
236,optout,1,True
237,optout,true,True
238,optout,true,True
239,pp_uid,OPT-OUT,True
240,TTDOptOut,1,True
241,optout,true,True
242,oo,1,True
243,AO,o=1,True
244,opto,1,True
245,optout,1,True
246,ebOptOut,TRUE,True
247,OPT_OUT,TOTAL,True
248,ADCELLnoTrack,1,True
249,JEB2,NOID,True
250,ZEDOIDA,OPT_OUT,True
251,OPT-OUT,OPT-OUT!OPT-OUT!,True
252,tuuid,opt-out,True
253,admeld_opt_out,true,True
254,uid,0000000000000000,True
255,opt-out,1,True
256,UID,00000000-0000-0000-0000-000000000000,True
257,omniture_optout,1,True
258,_optout,1,True
259,optouts,cookie,True
260,TOptOut,1,True
261,admeld_opt_out,true,True
262,bxgraphOptOut,1,True
263,opt_out,1,True
264,optout,1,True
265,OPTOUT,true,True
266,RMOPTOUT,3,True
267,opt-out,1,True
268,opt-out,true,True
269,optout,1,True
270,sqzl_optout,1,True
271,cookieconsent_status,deny,True
272,optout,1,True
273,optout,1,True
274,opt-out,1,True
275,LCX Digital,optout,True
276,uid,0,True
277,optout_ia_tracking,1,True
278,dis,true,True
279,optout,1,True
280,uuid,-2,True
