,cookie_domain,stmt,No-data-collection,No-tracking,No-data-coll.-for-oba,No-display-OBA,Other
0,adsrvr.org,You are able to opt out of having new data associated with your device and to request that we disassociate from your device data we already have.,0,1,0,0,0
1,adsrvr.org,"You can directly access the Trade Desk's opt out, which will cease data collection and disassociate data from your device, by visiting http://www.adsrvr.org.",1,1,0,0,0
2,adsrvr.org,"After you opt out, data we have collected about your browser will be disassociated from your device.",0,1,0,0,0
3,adsrvr.org,You have opted out of targeted advertising from this ad server.,0,0,0,1,0
4,adsrvr.org,"If you use more than one computer, browser or browser profile, you will need to opt-out of cookies on every browser you use.",0,0,0,0,1
5,adsrvr.org,"If you clear or delete your cookies, this will result in the deletion of your opt-out cookie, meaning you will need to re-set the opt-out following the deletion.",0,0,0,0,1
6,adsrvr.org,"Even after opting out, you may continue to receive advertising through our services, but those ads may be less relevant.",0,0,0,0,1
7,rlcdn.com,"When you opt out of LiveRamp cookies, we place an opt-out cookie on your web browser, on our advertising domain that indicates you have chosen to opt out.",0,0,0,0,1
8,rubiconproject.com,"Should you wish to opt-out of the use of information about the websites you visit in order to serve targeted advertising to you using our display technology, you can do so using the opt-out tool on our website",0,0,1,0,0
9,rubiconproject.com,"When I opt out, please do NOT collect information about me using cookies and other tracking technologies.",1,1,0,0,0
10,rubiconproject.com,"When you enable this choice, we will place a cookie on your device that is unique to the browser and device you use to opt out.",0,0,0,0,1
11,demdex.net,Opt out of Adobe Experience Cloud Advertising Services,0,0,0,1,0
12,demdex.net,"Future visits to this page will not display your opted out choice even if you have not cleared out your cookies, but you are still opted out.",0,0,0,0,1
13,demdex.net,You can also visit the sites below to opt out of interest-based ads for all companies who are members of those groups.,0,0,0,0,1
14,tapad.com,"If you would like Tapad to stop collecting device data for the Tapad Graph and our associated Services, please click on our Opt-Out link displayed on this page.",1,0,0,0,0
15,tapad.com,Opt-out requests for browsers may be submitted directly to Tapad by clicking on the Opt-out buttons located here.,0,0,0,0,1
16,tapad.com,"Requests for opt-out do not require a Certification Form, and the browser-based cookie is automatically identified for opt-out purposes.",0,0,0,0,1
17,tapad.com,Please note that any information provided as part of your consumer rights request for opt-outs will only be used for the sole purpose of identifying your device in Tapad's systems.,0,0,0,0,1
18,pubmatic.com,"If you want to opt out from having PubMatic's services collect information via cookies about your Internet visits, for purposes of interest-based advertising, please use this opt-out option.",0,0,1,0,0
19,pubmatic.com,"When you opt out, an opt-out cookie will be stored in your browser.",0,0,0,0,1
20,pubmatic.com,Please note the following important information related to opting out,0,0,0,0,1
21,pubmatic.com,The opt-out only applies to the browser in the device in which you set it.,0,0,0,0,1
22,pubmatic.com,"For example, if you set the opt-out while using the Firefox browser, then the opt-out applies only to the Firefox browser on the device where it was set, not other browsers or devices.",0,0,0,0,1
23,bluekai.com,Oracle provides consumers with multiple ways to opt out of Oracle's use of your information for interest-based advertising.,0,0,1,0,0
24,mathtag.com,"When you opt out, MediaMath will collect data from your browser, app, or device only as needed to honor your opt-out and for limited research and development purposes to improve our browser- and device-recognition technology, which also helps to improve our ability to honor your opt-out.",0,0,1,0,0
25,mathtag.com,"When you opt out, MediaMath also stops targeting tailored advertising to the opted-out browser, app, or device.",0,0,0,1,0
26,mathtag.com,You may opt out from tailored advertising at any time through one of the ways described below.,0,0,0,1,0
27,mathtag.com,"If you opt out of tailored advertising, you will still see ads, but those ads are less likely to have anything to do with products or services you care about.",0,0,0,1,0
28,mathtag.com,You may opt out if you are using a browser by clicking the Click here to opt out link below.,0,0,0,0,1
29,mathtag.com,"You may opt out in mobile app environments using the AppChoices mobile application, where applicable, which you can download to your mobile device from your App Store or via the DAA AppChoices page here.",0,0,0,0,1
30,mathtag.com,You may learn more about tailored advertising and opt out of tailored advertising from MediaMath and other online advertising companies that are also members of applicable self-regulatory organizations by visiting their opt-out links,0,0,0,0,1
31,quantserve.com,"When you opt out, Quantcast deletes our existing cookie identifier associated with your browser, ceases collection of personal information from that browser for advertising or measurement purposes, and ceases using any previously-collected data for targeting ads to you.",0,1,1,0,0
32,quantserve.com,This opt-out does not have to do with unsubscribing your email address from email marketing lists,0,0,0,0,1
33,quantserve.com,If your opt out cookie is deleted or blocked we will not be able to see your choice,0,0,0,0,1
34,quantserve.com,"If you use different browser profiles or devices, you will have to opt out separately on those, since we are not able to access the opt-out cookie across different browsers or devices",0,0,0,0,1
35,bidswitch.net,"To opt-out from our cookies, please click this link.",1,0,0,0,0
36,bidswitch.net,If you opted-out in error you can reset your cookies by clicking on the link below,0,0,0,0,1
37,krxd.net,"To opt-out of targeted advertising that is provided to us and to third parties by Salesforce Audience Studio, click here.",0,0,0,1,0
38,krxd.net,"For some consumers, this could mean opting out of targeting altogether.",0,0,0,1,0
39,krxd.net,Salesforce Audience Studio offers a one click opt-out solution for users who wish to opt-out of targeting via the Salesforce Audience Studio technology Platform.,0,0,0,1,0
40,krxd.net,"If you choose to opt-out, Salesforce Audience Studio deletes any targeting data it may have for your browser, and we will no longer enable our Clients to target that browser using our technology Platform.",0,0,1,0,0
41,krxd.net,"It works by giving you a simple way to exercise control over the data that you provide, and gives you the ability to opt-out from use of that data via the Salesforce Audience Studio Platform.",0,0,0,0,1
